event_id,event_type,confidence,start_frame,end_frame,duration_frames,duration_seconds,person_track_id,vehicle_track_id,interaction_id,supporting_sequence,min_distance_px,peak_relative_velocity,peak_relative_acceleration,is_tentative,explanation
EVT-0387,SUSPICIOUS_ENCOUNTER,1.0,119,223,56,1.869,1,3,INT-0003,APPROACHING -> RAPID_ACCELERATION -> CLOSE_INTERACTION,36.0139,17.9216,18.554,False,"vehicle (Track 3) approached pedestrian (Track 1) for 1.9 seconds, remained within 36 pixels, accelerated by 18.6 px/frame², and rapidly separated."
EVT-0407,RAPID_ESCAPE,0.9133,176,232,8,0.267,3,1,INT-0004,RAPID_ACCELERATION -> RAPID_SEPARATION,50.4876,15.6108,25.5301,False,"vehicle (Track 1) rapidly separated from pedestrian (Track 3) after 0.3 seconds, accelerating by 25.5 px/frame² up to relative speed 15.6 px/frame."
EVT-0864,RAPID_ESCAPE,0.9083,340,386,5,0.167,10000,10003,INT-0007,RAPID_ACCELERATION -> RAPID_SEPARATION,18.2483,8.3224,8.4589,False,"vehicle (Track 10003) rapidly separated from pedestrian (Track 10000) after 0.2 seconds, accelerating by 8.5 px/frame² up to relative speed 8.3 px/frame."
EVT-0865,CLOSE_ENCOUNTER,0.7246,340,386,5,0.167,10001,10003,INT-0009,CLOSE_INTERACTION,20.2485,2.4231,2.0079,False,"vehicle (Track 10003) encountered pedestrian (Track 10001) for 0.2 seconds, closing to a minimum distance of 20 pixels."
EVT-0867,RAPID_ESCAPE,0.9083,340,386,5,0.167,10002,10003,INT-0010,RAPID_ACCELERATION -> RAPID_SEPARATION,20.6155,16.2762,22.7541,False,"vehicle (Track 10003) rapidly separated from pedestrian (Track 10002) after 0.2 seconds, accelerating by 22.8 px/frame² up to relative speed 16.3 px/frame."
EVT-0875,CLOSE_ENCOUNTER,0.7619,311,387,35,1.168,10000,10001,INT-0005,CLOSE_INTERACTION,27.8568,105.2785,112.7629,False,"vehicle (Track 10001) encountered pedestrian (Track 10000) for 1.2 seconds, closing to a minimum distance of 28 pixels."
EVT-0877,RAPID_ESCAPE,0.91,340,387,6,0.2,10000,10002,INT-0006,RAPID_ACCELERATION -> RAPID_SEPARATION,6.4031,45.4621,80.8349,False,"vehicle (Track 10002) rapidly separated from pedestrian (Track 10000) after 0.2 seconds, accelerating by 80.8 px/frame² up to relative speed 45.5 px/frame."
EVT-0879,RAPID_ESCAPE,0.91,340,387,6,0.2,10001,10002,INT-0008,RAPID_ACCELERATION -> RAPID_SEPARATION,11.1803,27.2872,48.8305,False,"vehicle (Track 10002) rapidly separated from pedestrian (Track 10001) after 0.2 seconds, accelerating by 48.8 px/frame² up to relative speed 27.3 px/frame."
EVT-1151,RAPID_ESCAPE,1.0,374,474,61,2.035,3,4,INT-0018,RAPID_ACCELERATION -> RAPID_SEPARATION,57.4282,22.0571,30.0286,False,"vehicle (Track 4) rapidly separated from pedestrian (Track 3) after 2.0 seconds, accelerating by 30.0 px/frame² up to relative speed 22.1 px/frame."
EVT-1291,RAPID_ESCAPE,0.9117,451,497,7,0.234,4,6,INT-0019,RAPID_ACCELERATION -> RAPID_SEPARATION,128.0976,12.641,23.5199,False,"vehicle (Track 6) rapidly separated from pedestrian (Track 4) after 0.2 seconds, accelerating by 23.5 px/frame² up to relative speed 12.6 px/frame."
