graph_id,interaction_id,pattern_id,pattern_type,start_frame,end_frame,duration_frames,duration_seconds,confidence,supporting_primitives,min_distance_px,avg_distance_px,peak_relative_velocity,peak_relative_acceleration
GRAPH-INT-0001,INT-0001,PAT-0001,STOP_PATTERN,44,120,77,2.569,0.9,STATIONARY_INTERACTION,134.7145,134.7145,0.0,0.0
GRAPH-INT-0001,INT-0001,PAT-0005,CO_TRAVEL_PATTERN,44,121,1,0.033,0.9,PARALLEL_MOTION,134.7145,134.7145,0.0,0.0
GRAPH-INT-0001,INT-0001,PAT-0008,STOP_PATTERN,44,122,1,0.033,0.9,STATIONARY_INTERACTION,134.7145,134.7145,0.0,0.0
GRAPH-INT-0001,INT-0001,PAT-0011,CO_TRAVEL_PATTERN,44,125,82,2.736,0.9,PARALLEL_MOTION,134.7145,134.7145,0.0,0.0
GRAPH-INT-0001,INT-0001,PAT-0014,STOP_PATTERN,44,127,84,2.803,0.9,STATIONARY_INTERACTION,134.7145,134.7145,0.0,0.0
GRAPH-INT-0002,INT-0002,PAT-0002,STOP_PATTERN,44,120,77,2.569,0.9,STATIONARY_INTERACTION,59.1354,59.1354,0.0,0.0
GRAPH-INT-0002,INT-0002,PAT-0006,CO_TRAVEL_PATTERN,44,121,1,0.033,0.9,PARALLEL_MOTION,59.1354,59.1354,0.0,0.0
GRAPH-INT-0002,INT-0002,PAT-0009,STOP_PATTERN,44,122,1,0.033,0.9,STATIONARY_INTERACTION,59.1354,59.1354,0.0,0.0
GRAPH-INT-0002,INT-0002,PAT-0012,CO_TRAVEL_PATTERN,44,125,82,2.736,0.9,PARALLEL_MOTION,59.1354,59.1354,0.0,0.0
GRAPH-INT-0002,INT-0002,PAT-0015,STOP_PATTERN,44,127,84,2.803,0.9,STATIONARY_INTERACTION,59.1354,59.1354,0.0,0.0
GRAPH-INT-0003,INT-0003,PAT-0003,STOP_PATTERN,119,119,1,0.033,0.9,STATIONARY_INTERACTION,128.1405,128.1405,0.0,0.0
GRAPH-INT-0003,INT-0003,PAT-0004,DIVERGENCE_PATTERN,119,120,2,0.067,0.9,SUDDEN_DIRECTION_CHANGE,128.0976,128.1191,0.0429,0.0429
GRAPH-INT-0003,INT-0003,PAT-0007,ESCAPE_PATTERN,119,121,3,0.1,0.95,RAPID_ACCELERATION -> RAPID_SEPARATION,123.1016,126.4466,4.996,4.9531
GRAPH-INT-0003,INT-0003,PAT-0010,DIVERGENCE_PATTERN,119,122,4,0.133,0.825,SUDDEN_DIRECTION_CHANGE,121.0661,125.1015,2.0355,2.9605
GRAPH-INT-0003,INT-0003,PAT-0013,FOLLOW_PATTERN,119,125,7,0.234,0.9,FOLLOWING,120.0375,122.9395,0.0292,0.0292
GRAPH-INT-0003,INT-0003,PAT-0016,DIVERGENCE_PATTERN,119,128,10,0.334,0.9,SUDDEN_DIRECTION_CHANGE,120.0375,122.8267,1.9994,2.0285
