file_name,relative_path,duration_sec,resolution,fps,total_frames,codec,file_size_mb,file_size_bytes,lighting,camera_type,scene_type,crowd_density,vehicle_activity,pedestrian_activity,motion_intensity,is_corrupted,unreadable_metadata,inconsistent_fps_or_resolution,is_exact_duplicate,is_near_duplicate,duplicate_of
cctv_sample.avi,datasets/videos/cctv_sample.avi,37.3,640x480,20.0,746,FMP4,4.17,4374104,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
s_11.avi,Snatch 1.0/Chain Snatching Videos/Normal/s_11.avi,501.0,1280x720,25.0,12525,h264,251.29,263497806,Night,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
s_12.avi,Snatch 1.0/Chain Snatching Videos/Normal/s_12.avi,501.0,1280x720,25.0,12525,h264,251.34,263546446,Mixed,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
s_15.avi,Snatch 1.0/Chain Snatching Videos/Normal/s_15.avi,501.0,1280x720,25.0,12525,h264,251.33,263543636,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
s_18.avi,Snatch 1.0/Chain Snatching Videos/Normal/s_18.avi,501.0,1280x720,25.0,12525,h264,251.42,263631716,Mixed,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
s_20.avi,Snatch 1.0/Chain Snatching Videos/Normal/s_20.avi,687.0,1280x720,25.0,17175,h264,251.08,263274588,Day,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
s_23.avi,Snatch 1.0/Chain Snatching Videos/Normal/s_23.avi,298.0,1920x1080,25.0,7450,h264,251.49,263710208,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
s_24.avi,Snatch 1.0/Chain Snatching Videos/Normal/s_24.avi,514.0,1920x1080,25.0,12850,h264,251.35,263558636,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
1.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/1.mp4,20.52,640x360,29.97,615,h264,1.49,1565519,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
10.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/10.mp4,12.61,1280x720,29.97,378,h264,3.38,3549239,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
10_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/10_0.mp4,44.0,320x240,25.0,1100,FMP4,1.25,1306945,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
11.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/11.mp4,8.74,1280x720,29.97,262,h264,2.39,2508365,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
11_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/11_0.mp4,4.24,1006x720,25.0,106,FMP4,0.39,405624,Day,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
12.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/12.mp4,14.68,1280x720,29.97,440,h264,3.47,3634682,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
13_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/13_0.mp4,13.84,352x288,25.0,346,FMP4,0.52,547813,Day,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
14.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/14.mp4,9.67,1280x720,24.0,232,h264,11.18,11727480,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
14_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/14_0.mp4,7.24,480x360,25.0,181,FMP4,0.36,374840,Day,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
16.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/16.mp4,12.3,400x328,23.98,295,h264,0.67,703699,Day,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
16_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/16_0.mp4,11.24,352x288,25.0,281,FMP4,0.42,439968,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
17.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/17.mp4,13.88,1280x720,29.97,416,h264,1.66,1736796,Mixed,Static,Outdoor,Unknown,Unknown,Unknown,Low,False,False,False,False,False,
17_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/17_0.mp4,2.24,294x240,25.0,56,FMP4,0.12,126217,Day,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
18_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/18_0.mp4,11.36,1152x720,25.0,284,FMP4,1.03,1083979,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
1_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/1_0.mp4,3.32,658x480,25.0,83,FMP4,0.3,318858,Day,Static,Outdoor,Unknown,Unknown,Unknown,Low,False,False,False,False,False,
20_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/20_0.mp4,19.24,364x360,25.0,481,FMP4,0.71,739867,Day,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
21_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/21_0.mp4,12.4,1280x720,25.0,310,FMP4,1.22,1282563,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
22_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/22_0.mp4,2.28,480x360,25.0,57,FMP4,0.15,159460,Mixed,Static,Outdoor,Unknown,Unknown,Unknown,Low,False,False,False,False,False,
23_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/23_0.mp4,2.84,352x288,25.0,71,FMP4,0.17,173816,Day,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
