video_name,total_frames,processed_frames,discarded_frames,reduction_ratio_pct,elapsed_seconds,fps,avg_ms_per_frame,detections,tracks,interactions,behaviour_graphs,rois,pose_estimations,skeleton_sequences,action_predictions,fused_interactions,signature_matches,forensic_events
1.mp4,615,463,152,24.72,359.4,1.29,776.25,1,2,0,0,0,2,2,2,2,640,640
10.mp4,378,241,137,36.24,284.95,0.85,1182.36,7,3,0,1,1,98,1,1,1,109,109
10_0.mp4,1100,1002,98,8.91,1090.77,0.92,1088.59,1,1,0,4,2,2295,6,6,6,3548,3548
11.mp4,262,175,87,33.21,67.24,2.6,384.23,2,2,1,4,1,143,5,5,5,416,416
11_0.mp4,106,103,3,2.83,18.59,5.54,180.5,1,1,0,0,0,4,1,1,1,96,96
12.mp4,440,300,140,31.82,99.77,3.01,332.55,10,4,0,3,1,265,3,3,3,470,470
13_0.mp4,346,329,17,4.91,31.4,10.48,95.45,6,1,1,1,0,17,2,2,2,351,351
14.mp4,232,186,46,19.83,100.7,1.85,541.41,3,12,2,2,2,215,5,5,5,579,579
14_0.mp4,181,149,32,17.68,11.7,12.73,78.53,2,1,0,1,0,1,1,1,1,149,149
16.mp4,295,165,130,44.07,8.25,20.0,50.0,1,1,0,0,0,0,0,0,0,0,0
16_0.mp4,281,164,117,41.64,12.84,12.78,78.28,1,3,1,0,0,23,1,1,1,164,164
17.mp4,416,388,28,6.73,270.33,1.44,696.73,3,4,2,1,1,370,3,3,3,762,762
17_0.mp4,56,45,11,19.64,2.39,18.79,53.21,6,1,1,0,1,38,1,1,1,45,45
18_0.mp4,284,282,2,0.7,20.56,13.72,72.9,13,5,0,0,0,0,0,0,0,0,0
1_0.mp4,83,40,43,51.81,2.91,13.75,72.75,1,7,0,0,0,0,0,0,0,0,0
20_0.mp4,481,469,12,2.49,202.06,2.32,430.84,9,4,5,9,8,2174,14,14,14,2791,2791
21_0.mp4,310,307,3,0.97,205.66,1.49,669.91,7,4,1,4,2,580,5,5,5,913,913
22_0.mp4,57,46,11,19.3,2.98,15.44,64.75,1,1,1,0,0,36,1,1,1,46,46
23_0.mp4,71,8,63,88.73,1.3,6.17,162.16,1,4,1,0,0,1,1,1,1,6,6
24_0.mp4,131,57,74,56.49,4.97,11.48,87.11,1,10,1,0,0,6,1,1,1,50,50
25_0.mp4,106,106,0,0.0,7.76,13.66,73.2,6,5,0,0,0,0,0,0,0,0,0
26_0.mp4,226,183,43,19.03,8.76,20.9,47.84,1,1,0,1,0,1,1,1,1,103,103
27_0.mp4,201,76,125,62.19,7.56,10.05,99.53,1,15,1,0,0,61,1,1,1,73,73
2_0.mp4,91,86,5,5.49,4.75,18.1,55.23,3,9,2,0,1,42,2,2,2,76,76
30_0.mp4,66,66,0,0.0,4.64,14.22,70.31,2,1,0,0,0,0,0,0,0,0,0
3_0.mp4,150,144,6,4.0,23.73,6.07,164.81,2,1,0,1,0,83,1,1,1,103,103
4_0.mp4,106,32,74,69.81,2.17,14.75,67.81,1,9,1,0,0,1,1,1,1,4,4
5_0.mp4,201,197,4,1.99,22.16,8.89,112.48,9,6,2,0,2,111,2,2,2,112,112
6.mp4,240,210,30,12.5,30.75,6.83,146.43,6,4,4,5,3,157,9,9,9,822,822
6_0.mp4,236,100,136,57.63,6.06,16.49,60.64,1,2,0,0,0,0,0,0,0,0,0
7.mp4,210,46,164,78.1,4.13,11.14,89.75,1,1,1,0,0,3,1,1,1,43,43
7_0.mp4,101,86,15,14.85,15.54,5.53,180.67,3,2,0,1,0,6,1,1,1,86,86
8.mp4,291,238,53,18.21,26.75,8.9,112.41,2,2,0,1,0,23,1,1,1,51,51
9.mp4,319,239,80,25.08,33.19,7.2,138.86,7,6,1,2,2,97,3,3,3,168,168
9_0.mp4,214,121,93,43.46,8.2,14.75,67.78,1,4,0,1,0,78,1,1,1,113,113
