video_name,total_runtime_sec,total_frames,processed_frames,overall_fps,avg_latency_per_frame_ms
1.mp4,359.4,615,463,1.29,776.25
10.mp4,284.95,378,241,0.85,1182.36
10_0.mp4,1090.77,1100,1002,0.92,1088.59
11.mp4,67.24,262,175,2.6,384.23
11_0.mp4,18.59,106,103,5.54,180.5
12.mp4,99.77,440,300,3.01,332.55
13_0.mp4,31.4,346,329,10.48,95.45
14.mp4,100.7,232,186,1.85,541.41
14_0.mp4,11.7,181,149,12.73,78.53
16.mp4,8.25,295,165,20.0,50.0
16_0.mp4,12.84,281,164,12.78,78.28
17.mp4,270.33,416,388,1.44,696.73
17_0.mp4,2.39,56,45,18.79,53.21
18_0.mp4,20.56,284,282,13.72,72.9
1_0.mp4,2.91,83,40,13.75,72.75
20_0.mp4,202.06,481,469,2.32,430.84
21_0.mp4,205.66,310,307,1.49,669.91
22_0.mp4,2.98,57,46,15.44,64.75
23_0.mp4,1.3,71,8,6.17,162.16
24_0.mp4,4.97,131,57,11.48,87.11
25_0.mp4,7.76,106,106,13.66,73.2
26_0.mp4,8.76,226,183,20.9,47.84
27_0.mp4,7.56,201,76,10.05,99.53
2_0.mp4,4.75,91,86,18.1,55.23
30_0.mp4,4.64,66,66,14.22,70.31
3_0.mp4,23.73,150,144,6.07,164.81
4_0.mp4,2.17,106,32,14.75,67.81
5_0.mp4,22.16,201,197,8.89,112.48
6.mp4,30.75,240,210,6.83,146.43
6_0.mp4,6.06,236,100,16.49,60.64
7.mp4,4.13,210,46,11.14,89.75
7_0.mp4,15.54,101,86,5.53,180.67
8.mp4,26.75,291,238,8.9,112.41
9.mp4,33.19,319,239,7.2,138.86
9_0.mp4,8.2,214,121,14.75,67.78
