video_name,cpu_percent,ram_used_mb,ram_total_mb,ram_percent,gpu_mem_mb,gpu_percent
1.mp4,22.3,1255.9,16106.6,81.7,55.1,0.7
10.mp4,22.0,1344.4,16106.6,83.4,77.9,1.0
10_0.mp4,19.0,1287.6,16106.6,81.4,56.4,0.7
11.mp4,20.9,1421.2,16106.6,82.8,79.2,1.0
11_0.mp4,20.7,1398.5,16106.6,81.1,102.8,1.3
12.mp4,13.8,1426.1,16106.6,81.3,121.8,1.5
13_0.mp4,14.8,1301.4,16106.6,80.5,56.3,0.7
14.mp4,15.2,1287.4,16106.6,79.6,79.1,1.0
14_0.mp4,15.8,1180.0,16106.6,79.0,103.1,1.3
16.mp4,18.4,1183.4,16106.6,79.1,127.2,1.6
16_0.mp4,17.5,1167.8,16106.6,79.4,56.3,0.7
17.mp4,14.4,1285.0,16106.6,81.2,79.1,1.0
17_0.mp4,15.7,1166.0,16106.6,80.4,103.8,1.3
18_0.mp4,17.5,1293.0,16106.6,81.1,123.0,1.5
1_0.mp4,16.7,1198.8,16106.6,80.5,55.9,0.7
20_0.mp4,13.6,1177.2,16106.6,79.2,57.1,0.7
21_0.mp4,13.5,1278.8,16106.6,80.1,80.3,1.0
22_0.mp4,13.0,1181.8,16106.6,79.5,104.3,1.3
23_0.mp4,18.2,1178.7,16106.6,79.5,56.3,0.7
24_0.mp4,17.9,1193.1,16106.6,79.5,70.0,0.9
25_0.mp4,18.9,1301.8,16106.6,80.6,92.7,1.1
26_0.mp4,16.3,1169.6,16106.6,79.7,112.5,1.4
27_0.mp4,15.2,1181.6,16106.6,79.7,132.9,1.6
2_0.mp4,19.2,1188.7,16106.6,79.8,54.9,0.7
30_0.mp4,16.0,1283.1,16106.6,80.4,78.7,1.0
3_0.mp4,14.9,1289.5,16106.6,80.5,97.7,1.2
4_0.mp4,16.4,1171.9,16106.6,79.7,118.8,1.5
5_0.mp4,14.0,1290.7,16106.6,80.3,141.5,1.7
6.mp4,14.2,1169.8,16106.6,79.5,55.9,0.7
6_0.mp4,20.4,1206.8,16106.6,79.8,78.6,1.0
7.mp4,16.6,1165.0,16106.6,79.5,98.2,1.2
7_0.mp4,13.0,1304.8,16106.6,80.4,118.2,1.4
8.mp4,15.8,1288.6,16106.6,80.7,55.1,0.7
9.mp4,15.0,1290.5,16106.6,80.6,74.9,0.9
9_0.mp4,17.4,1176.0,16106.6,79.8,98.8,1.2
