event_id,video_id,interaction_id,fusion_id,signature_id,start_frame,end_frame,duration_seconds,person_track_id,vehicle_track_id,location,decision,signature_score,confidence,matched_signature_name,behaviour_patterns,detected_actions,thumbnail_path,video_clip_path
EVT-SIG-822C3315,1.mp4,INT-0001,FUSED-INT-0001,SIG-822C3315,44,44,0.033,-1,-1,Camera 1,No Match,0.1,0.056,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-822C3315.jpg,outputs/forensic_clips/event_EVT-SIG-822C3315.avi
EVT-SIG-280548F8,1.mp4,INT-0001,FUSED-INT-0001,SIG-280548F8,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-280548F8.jpg,outputs/forensic_clips/event_EVT-SIG-280548F8.avi
EVT-SIG-A2DD2BBA,1.mp4,INT-0001,FUSED-INT-0001,SIG-A2DD2BBA,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-A2DD2BBA.jpg,outputs/forensic_clips/event_EVT-SIG-A2DD2BBA.avi
EVT-SIG-3D4DAD94,1.mp4,INT-0001,FUSED-INT-0001,SIG-3D4DAD94,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-3D4DAD94.jpg,outputs/forensic_clips/event_EVT-SIG-3D4DAD94.avi
EVT-SIG-F5E27C0D,1.mp4,INT-0001,FUSED-INT-0001,SIG-F5E27C0D,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-F5E27C0D.jpg,outputs/forensic_clips/event_EVT-SIG-F5E27C0D.avi
EVT-SIG-0665ADDF,1.mp4,INT-0001,FUSED-INT-0001,SIG-0665ADDF,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-0665ADDF.jpg,outputs/forensic_clips/event_EVT-SIG-0665ADDF.avi
EVT-SIG-4EC171EB,1.mp4,INT-0001,FUSED-INT-0001,SIG-4EC171EB,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-4EC171EB.jpg,outputs/forensic_clips/event_EVT-SIG-4EC171EB.avi
EVT-SIG-68B2DB6E,1.mp4,INT-0001,FUSED-INT-0001,SIG-68B2DB6E,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-68B2DB6E.jpg,outputs/forensic_clips/event_EVT-SIG-68B2DB6E.avi
EVT-SIG-0D975937,1.mp4,INT-0001,FUSED-INT-0001,SIG-0D975937,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-0D975937.jpg,outputs/forensic_clips/event_EVT-SIG-0D975937.avi
EVT-SIG-2B963BEA,1.mp4,INT-0001,FUSED-INT-0001,SIG-2B963BEA,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-2B963BEA.jpg,outputs/forensic_clips/event_EVT-SIG-2B963BEA.avi
EVT-SIG-2ADD39E1,1.mp4,INT-0001,FUSED-INT-0001,SIG-2ADD39E1,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-2ADD39E1.jpg,outputs/forensic_clips/event_EVT-SIG-2ADD39E1.avi
EVT-SIG-C5002257,1.mp4,INT-0001,FUSED-INT-0001,SIG-C5002257,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-C5002257.jpg,outputs/forensic_clips/event_EVT-SIG-C5002257.avi
EVT-SIG-75AB7EEB,1.mp4,INT-0001,FUSED-INT-0001,SIG-75AB7EEB,44,44,0.033,-1,-1,Camera 1,No Match,0.1,0.056,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-75AB7EEB.jpg,outputs/forensic_clips/event_EVT-SIG-75AB7EEB.avi
EVT-SIG-999B5CA1,1.mp4,INT-0001,FUSED-INT-0001,SIG-999B5CA1,44,44,0.033,-1,-1,Camera 1,No Match,0.1,0.056,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-999B5CA1.jpg,outputs/forensic_clips/event_EVT-SIG-999B5CA1.avi
EVT-SIG-B6CB88B8,1.mp4,INT-0001,FUSED-INT-0001,SIG-B6CB88B8,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-B6CB88B8.jpg,outputs/forensic_clips/event_EVT-SIG-B6CB88B8.avi
EVT-SIG-9AB11ACB,1.mp4,INT-0001,FUSED-INT-0001,SIG-9AB11ACB,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-9AB11ACB.jpg,outputs/forensic_clips/event_EVT-SIG-9AB11ACB.avi
EVT-SIG-3421970A,1.mp4,INT-0001,FUSED-INT-0001,SIG-3421970A,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-3421970A.jpg,outputs/forensic_clips/event_EVT-SIG-3421970A.avi
