fusion_id,interaction_id,person_track_id,vehicle_track_id,start_frame,end_frame,duration_seconds,behaviour_patterns,behaviour_confidence,action_confidence,fusion_confidence,fusion_strategy,explanation_text
FUSED-INT-0001,INT-0001,10003,10000,44,44,0.033,STOP_PATTERN,0.9,0.5,0.72,weighted_confidence,"Vehicle (Track 10000) and Person (Track 10003) engaged in an interaction. Observed behaviour pattern sequence: [STOP_PATTERN]. Kinematic dynamics exhibited minimum proximity of 134.7px, interaction duration of 0.0s, average relative speed of 0.0px/s. Multi-modal fusion confidence: 72% (strategy: weighted_confidence)."
FUSED-INT-0002,INT-0002,10002,10003,44,44,0.033,STOP_PATTERN,0.9,0.5,0.72,weighted_confidence,"Vehicle (Track 10003) and Person (Track 10002) engaged in an interaction. Observed behaviour pattern sequence: [STOP_PATTERN]. Kinematic dynamics exhibited minimum proximity of 59.1px, interaction duration of 0.0s, average relative speed of 0.0px/s. Multi-modal fusion confidence: 72% (strategy: weighted_confidence)."
FUSED-INT-0003,INT-0003,1,3,119,119,0.033,STOP_PATTERN,0.9,0.5,0.72,weighted_confidence,"Vehicle (Track 3) and Person (Track 1) engaged in an interaction. Observed behaviour pattern sequence: [STOP_PATTERN]. Kinematic dynamics exhibited minimum proximity of 128.1px, interaction duration of 0.0s, average relative speed of 5.8px/s. Multi-modal fusion confidence: 72% (strategy: weighted_confidence)."
FUSED-INT-0004,INT-0004,3,1,176,176,0.033,PROXIMITY_PATTERN,0.8435,0.5,0.6974,weighted_confidence,"Vehicle (Track 1) and Person (Track 3) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 62.6px, interaction duration of 0.0s, average relative speed of 3.6px/s. Multi-modal fusion confidence: 70% (strategy: weighted_confidence)."
FUSED-INT-0005,INT-0005,10000,10001,311,311,0.033,PROXIMITY_PATTERN,0.6672,0.5,0.6269,weighted_confidence,"Vehicle (Track 10001) and Person (Track 10000) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 133.1px, interaction duration of 0.0s, average relative speed of 89.5px/s. Multi-modal fusion confidence: 63% (strategy: weighted_confidence)."
FUSED-INT-0006,INT-0006,10000,10002,340,340,0.033,PROXIMITY_PATTERN,0.9028,0.5,0.7211,weighted_confidence,"Vehicle (Track 10002) and Person (Track 10000) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 38.9px, interaction duration of 0.0s, average relative speed of 105.1px/s. Multi-modal fusion confidence: 72% (strategy: weighted_confidence)."
FUSED-INT-0007,INT-0007,10000,10003,340,340,0.033,PROXIMITY_PATTERN,0.954,0.5,0.7416,weighted_confidence,"Vehicle (Track 10003) and Person (Track 10000) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 18.4px, interaction duration of 0.0s, average relative speed of 78.2px/s. Multi-modal fusion confidence: 74% (strategy: weighted_confidence)."
FUSED-INT-0008,INT-0008,10001,10002,340,340,0.033,PROXIMITY_PATTERN,0.972,0.5,0.7488,weighted_confidence,"Vehicle (Track 10002) and Person (Track 10001) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 11.2px, interaction duration of 0.0s, average relative speed of 105.1px/s. Multi-modal fusion confidence: 75% (strategy: weighted_confidence)."
FUSED-INT-0009,INT-0009,10001,10003,340,340,0.033,PROXIMITY_PATTERN,0.9494,0.5,0.7398,weighted_confidence,"Vehicle (Track 10003) and Person (Track 10001) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 20.2px, interaction duration of 0.0s, average relative speed of 58.1px/s. Multi-modal fusion confidence: 74% (strategy: weighted_confidence)."
FUSED-INT-0010,INT-0010,10002,10003,340,340,0.033,PROXIMITY_PATTERN,0.924,0.5,0.7296,weighted_confidence,"Vehicle (Track 10003) and Person (Track 10002) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 30.4px, interaction duration of 0.0s, average relative speed of 105.1px/s. Multi-modal fusion confidence: 73% (strategy: weighted_confidence)."
