video_name,detector,reduction_percentage,fps,continuity_score,rank_reduction,rank_fps,rank_continuity,composite_score,final_video_rank
1.mp4,Baseline,0.0,1022.3143,0.9983,3,1,1,5.0,1
1.mp4,MOG2,0.0,200.7884,0.9983,3,3,1,7.0,2
1.mp4,Frame Difference,81.1352,499.9557,0.5398,1,2,5,8.0,3
1.mp4,KNN,0.0,96.8874,0.9983,3,5,1,9.0,4
1.mp4,GMM,4.1736,108.7119,0.9965,2,4,4,10.0,5
10.mp4,Baseline,0.0,203.0536,0.9959,3,1,1,5.0,1
10.mp4,Frame Difference,0.4149,133.4266,0.9958,1,2,4,7.0,2
10.mp4,MOG2,0.0,39.3132,0.9959,3,3,1,7.0,3
10.mp4,GMM,0.4149,25.9458,0.9958,1,4,4,9.0,4
10.mp4,KNN,0.0,15.5601,0.9959,3,5,1,9.0,5
10_0.mp4,Baseline,0.0,2823.2325,0.9991,4,1,1,6.0,1
10_0.mp4,Frame Difference,98.8182,986.2031,0.4615,1,2,5,8.0,2
10_0.mp4,GMM,69.1818,322.5704,0.9823,2,3,4,9.0,3
10_0.mp4,MOG2,5.4545,197.4644,0.9971,3,4,3,10.0,4
10_0.mp4,KNN,0.0,134.2625,0.9991,4,5,1,10.0,5
11.mp4,Baseline,0.0,224.004,0.9945,3,1,1,5.0,1
11.mp4,Frame Difference,0.5525,126.6508,0.9944,1,2,4,7.0,2
11.mp4,MOG2,0.0,46.009,0.9945,3,3,1,7.0,3
11.mp4,GMM,0.5525,25.6867,0.9944,1,4,4,9.0,4
11.mp4,KNN,0.0,17.3517,0.9945,3,5,1,9.0,5
11_0.mp4,Baseline,0.0,309.3105,0.9906,3,1,1,5.0,1
11_0.mp4,MOG2,0.0,76.1129,0.9906,3,3,1,7.0,2
11_0.mp4,Frame Difference,17.9245,167.804,0.8276,1,2,5,8.0,3
11_0.mp4,KNN,0.0,42.0922,0.9906,3,4,1,8.0,4
11_0.mp4,GMM,1.8868,36.4354,0.9904,2,5,4,11.0,5
12.mp4,Frame Difference,0.3333,132.0888,0.9967,1,2,1,4.0,1
12.mp4,Baseline,0.0,228.4389,0.9967,3,1,1,5.0,2
12.mp4,GMM,0.3333,24.2866,0.9967,1,4,1,6.0,3
12.mp4,MOG2,0.0,41.6429,0.9967,3,3,1,7.0,4
12.mp4,KNN,0.0,15.8552,0.9967,3,5,1,9.0,5
13_0.mp4,Baseline,0.0,2164.1894,0.9971,4,1,1,6.0,1
13_0.mp4,Frame Difference,100.0,845.0647,0.0,1,2,5,8.0,2
13_0.mp4,GMM,83.815,255.6387,0.9821,2,3,4,9.0,3
13_0.mp4,MOG2,1.1561,231.9378,0.9854,3,4,3,10.0,4
13_0.mp4,KNN,0.0,136.7524,0.9971,4,5,1,10.0,5
14.mp4,Baseline,0.0,247.0417,0.9957,3,1,1,5.0,1
14.mp4,MOG2,0.0,39.6526,0.9957,3,3,1,7.0,2
14.mp4,Frame Difference,41.8103,133.84,0.8074,1,2,5,8.0,3
14.mp4,KNN,0.0,18.5238,0.9957,3,5,1,9.0,4
14.mp4,GMM,1.7241,24.3146,0.9956,2,4,4,10.0,5
14_0.mp4,Baseline,0.0,1541.957,0.9945,4,1,1,6.0,1
14_0.mp4,Frame Difference,100.0,640.8643,0.0,1,2,4,7.0,2
14_0.mp4,MOG2,9.3923,232.7281,0.9817,3,3,3,9.0,3
14_0.mp4,KNN,0.0,160.5571,0.9945,4,4,1,9.0,4
14_0.mp4,GMM,100.0,158.1668,0.0,1,5,4,10.0,5
16.mp4,Baseline,0.0,1921.165,0.9962,4,1,1,6.0,1
16.mp4,Frame Difference,84.0304,746.4711,0.6667,1,2,5,8.0,2
16.mp4,MOG2,2.6616,205.7555,0.9844,3,3,3,9.0,3
16.mp4,GMM,49.8099,199.2506,0.947,2,4,4,10.0,4
16.mp4,KNN,0.0,117.4345,0.9962,4,5,1,10.0,5
16_0.mp4,Baseline,0.0,2200.1804,0.9964,4,1,1,6.0,1
16_0.mp4,Frame Difference,99.6441,867.3177,0.0,1,2,5,8.0,2
16_0.mp4,MOG2,1.7794,272.3585,0.9928,3,3,3,9.0,3
16_0.mp4,GMM,98.5765,264.8945,0.5,2,4,4,10.0,4
16_0.mp4,KNN,0.0,164.0257,0.9964,4,5,1,10.0,5
17.mp4,Baseline,0.0,260.1189,0.9974,4,1,1,6.0,1
17.mp4,Frame Difference,70.3325,136.294,0.6724,1,2,5,8.0,2
17.mp4,KNN,0.0,71.5292,0.9974,4,4,1,9.0,3
17.mp4,GMM,22.7621,28.808,0.9934,2,5,3,10.0,4
17.mp4,MOG2,0.7673,81.3133,0.9897,3,3,4,10.0,5
17_0.mp4,Baseline,0.0,1856.5054,0.9821,4,1,1,6.0,1
17_0.mp4,Frame Difference,98.2143,883.9933,0.0,1,2,5,8.0,2
17_0.mp4,GMM,51.7857,323.2163,0.963,2,3,3,8.0,3
17_0.mp4,KNN,0.0,141.8876,0.9821,4,5,1,10.0,4
17_0.mp4,MOG2,19.6429,220.9289,0.9556,3,4,4,11.0,5
18_0.mp4,Baseline,0.0,262.9439,0.9965,4,1,1,6.0,1
18_0.mp4,Frame Difference,40.493,176.2795,0.3964,1,2,5,8.0,2
18_0.mp4,KNN,0.0,40.0164,0.9965,4,4,1,9.0,3
18_0.mp4,GMM,1.4085,31.0441,0.9964,2,5,3,10.0,4
18_0.mp4,MOG2,0.7042,61.5453,0.9894,3,3,4,10.0,5
1_0.mp4,Baseline,0.0,929.2505,0.988,4,1,1,6.0,1
1_0.mp4,Frame Difference,73.494,389.0757,0.3182,2,2,5,9.0,2
1_0.mp4,MOG2,1.2048,176.9562,0.9756,3,3,3,9.0,3
1_0.mp4,KNN,0.0,125.7729,0.988,4,4,1,9.0,4
1_0.mp4,GMM,89.1566,88.7732,0.8889,1,5,4,10.0,5
20_0.mp4,Baseline,0.0,2190.8838,0.9979,4,1,1,6.0,1
20_0.mp4,Frame Difference,100.0,727.4044,0.0,1,2,5,8.0,2
20_0.mp4,MOG2,2.4948,251.7817,0.9915,3,3,3,9.0,3
20_0.mp4,KNN,0.0,207.9941,0.9979,4,4,1,9.0,4
20_0.mp4,GMM,91.2682,206.2713,0.881,2,5,4,11.0,5
21_0.mp4,Baseline,0.0,253.7245,0.9968,4,1,1,6.0,1
21_0.mp4,Frame Difference,29.0323,153.318,0.6273,1,2,5,8.0,2
21_0.mp4,MOG2,0.9677,56.7974,0.987,2,3,4,9.0,3
21_0.mp4,KNN,0.0,35.1335,0.9968,4,4,1,9.0,4
21_0.mp4,GMM,0.9677,28.7166,0.9967,2,5,3,10.0,5
22_0.mp4,Baseline,0.0,1269.3436,0.9825,3,1,1,5.0,1
22_0.mp4,MOG2,0.0,246.8861,0.9825,3,3,1,7.0,2
22_0.mp4,GMM,59.6491,154.8942,0.9565,1,4,4,9.0,3
22_0.mp4,Frame Difference,42.1053,585.9574,0.9091,2,2,5,9.0,4
22_0.mp4,KNN,0.0,146.6568,0.9825,3,5,1,9.0,5
23_0.mp4,Baseline,0.0,1669.4962,0.9859,4,1,1,6.0,1
23_0.mp4,Frame Difference,84.507,735.0315,0.8182,1,2,5,8.0,2
23_0.mp4,GMM,74.6479,244.7944,0.9444,2,4,3,9.0,3
23_0.mp4,MOG2,12.6761,261.9303,0.9194,3,3,4,10.0,4
23_0.mp4,KNN,0.0,177.6681,0.9859,4,5,1,10.0,5
24_0.mp4,Baseline,0.0,1155.7858,0.9924,3,1,1,5.0,1
24_0.mp4,MOG2,0.0,168.4254,0.9924,3,3,1,7.0,2
24_0.mp4,Frame Difference,54.1985,571.8446,0.5333,1,2,5,8.0,3
24_0.mp4,KNN,0.0,91.6998,0.9924,3,5,1,9.0,4
24_0.mp4,GMM,22.9008,117.9683,0.9703,2,4,4,10.0,5
25_0.mp4,Baseline,0.0,265.3482,0.9906,3,1,1,5.0,1
25_0.mp4,Frame Difference,0.9434,150.6577,0.9905,1,2,4,7.0,2
25_0.mp4,MOG2,0.0,64.6121,0.9906,3,3,1,7.0,3
25_0.mp4,KNN,0.0,38.8113,0.9906,3,4,1,8.0,4
25_0.mp4,GMM,0.9434,27.1318,0.9905,1,5,4,10.0,5
26_0.mp4,Frame Difference,100.0,910.4878,0.0,1,2,4,7.0,1
26_0.mp4,Baseline,0.0,2381.9913,0.9956,5,1,1,7.0,2
26_0.mp4,GMM,100.0,282.6633,0.0,1,3,4,8.0,3
26_0.mp4,KNN,21.2389,153.9743,0.9831,3,5,2,10.0,4
26_0.mp4,MOG2,14.6018,165.0351,0.9689,4,4,3,11.0,5
27_0.mp4,Baseline,0.0,1226.166,0.995,3,1,1,5.0,1
27_0.mp4,MOG2,0.0,181.1126,0.995,3,3,1,7.0,2
27_0.mp4,Frame Difference,97.0149,651.5308,0.3333,1,2,5,8.0,3
27_0.mp4,KNN,0.0,74.9508,0.995,3,5,1,9.0,4
27_0.mp4,GMM,4.9751,142.1313,0.9895,2,4,4,10.0,5
2_0.mp4,Baseline,0.0,1206.1095,0.989,4,1,1,6.0,1
2_0.mp4,Frame Difference,74.7253,573.1814,0.1739,1,2,5,8.0,2
2_0.mp4,MOG2,5.4945,212.8207,0.9302,3,3,3,9.0,3
2_0.mp4,KNN,0.0,140.5031,0.989,4,4,1,9.0,4
2_0.mp4,GMM,54.9451,112.6441,0.8537,2,5,4,11.0,5
30_0.mp4,Baseline,0.0,240.358,0.9848,3,1,1,5.0,1
30_0.mp4,Frame Difference,1.5152,161.5665,0.9846,1,2,4,7.0,2
30_0.mp4,MOG2,0.0,71.459,0.9848,3,3,1,7.0,3
