detector,metric,mean,median,minimum,maximum,std_dev,ci_95
Baseline,reduction_percentage,0.0,0.0,0.0,0.0,0.0,0.0
Baseline,fps,1001.3516,522.5982,98.0702,2948.5292,881.6486,271.3314
Baseline,processing_time_seconds,9.6735,0.3986,0.0302,128.4449,25.5914,7.8759
Baseline,continuity_score,0.9946,0.9958,0.9821,0.9999,0.0047,0.0014
Baseline,num_segments,1.0,1.0,1.0,1.0,0.0,0.0
Baseline,avg_segment_length,2246.4651,236.0,56.0,17175.0,4705.2954,1448.0762
Baseline,average_motion_area_ratio,1.0,1.0,1.0,1.0,0.0,0.0
Frame Difference,reduction_percentage,50.8292,56.0,0.0233,100.0,40.0398,12.3224
Frame Difference,fps,444.8246,319.0761,49.5366,1330.2499,335.9755,103.398
Frame Difference,processing_time_seconds,17.4784,0.7036,0.0633,241.2215,47.3997,14.5875
Frame Difference,continuity_score,0.6103,0.7934,0.0,0.9998,0.4014,0.1235
Frame Difference,num_segments,22.3488,4.0,0.0,138.0,35.5621,10.9444
Frame Difference,avg_segment_length,274.7246,4.84,0.0,6423.5,1018.6177,313.4843
Frame Difference,average_motion_area_ratio,0.067,0.0519,0.0,0.2005,0.0579,0.0178
MOG2,reduction_percentage,5.1691,0.2681,0.0,57.6271,11.2826,3.4723
MOG2,fps,144.1802,143.5964,22.6478,387.5095,93.9533,28.9146
MOG2,processing_time_seconds,39.0564,1.9251,0.2309,565.7293,106.9517,32.9149
MOG2,continuity_score,0.9848,0.9906,0.9194,0.9999,0.0189,0.0058
MOG2,num_segments,3.2791,2.0,1.0,40.0,5.9894,1.8433
MOG2,avg_segment_length,1754.7054,106.0,12.4,12850.0,4131.6646,1271.5387
MOG2,average_motion_area_ratio,0.2227,0.1829,0.0391,0.6166,0.149,0.0458
KNN,reduction_percentage,4.0018,0.0,0.0,74.5763,13.4498,4.1392
KNN,fps,90.7745,76.5593,12.2384,240.6533,62.5675,19.2554
KNN,processing_time_seconds,64.551,3.1058,0.3887,1038.582,187.5726,57.7263
KNN,continuity_score,0.992,0.9957,0.9333,0.9999,0.0111,0.0034
KNN,num_segments,2.093,1.0,1.0,40.0,5.9514,1.8316
KNN,avg_segment_length,1841.2273,232.0,15.0,12850.0,4100.2418,1261.8682
KNN,average_motion_area_ratio,0.2843,0.2125,0.0454,0.8142,0.2124,0.0654
GMM,reduction_percentage,34.7306,22.7621,0.0078,100.0,38.7231,11.9172
GMM,fps,114.1604,60.6263,11.1738,323.2163,103.4971,31.8517
GMM,processing_time_seconds,86.4777,3.8414,0.1733,1121.0094,224.5683,69.1119
GMM,continuity_score,0.8513,0.9863,0.0,0.9999,0.3224,0.0992
GMM,num_segments,3.3488,1.0,0.0,42.0,6.5896,2.028
GMM,avg_segment_length,1005.0624,73.0,0.0,12849.0,2909.7177,895.4789
GMM,average_motion_area_ratio,0.0658,0.0583,0.0,0.29,0.0568,0.0175
