sample_id,roi_id,interaction_id,frame_index,timestamp,track_id,backend_name,topology,num_keypoints,overall_confidence,quality_score,processing_time_ms
SMP-INT-0001-44,ROI-INT-0001,INT-0001,44,1.468,10003,MediaPipe,COCO_17,17,0.8039,0.7094,53.3
SMP-INT-0002-44,ROI-INT-0002,INT-0002,44,1.468,10002,MediaPipe,COCO_17,17,0.5,0.5,15.76
SMP-INT-0001-45,ROI-INT-0001,INT-0001,45,1.502,10003,MediaPipe,COCO_17,17,0.9034,0.9034,29.73
SMP-INT-0002-45,ROI-INT-0002,INT-0002,45,1.502,10002,MediaPipe,COCO_17,17,0.5,0.5,11.39
SMP-INT-0001-47,ROI-INT-0001,INT-0001,47,1.568,10003,MediaPipe,COCO_17,17,0.7502,0.6619,28.17
SMP-INT-0002-47,ROI-INT-0002,INT-0002,47,1.568,10002,MediaPipe,COCO_17,17,0.5,0.5,11.04
SMP-INT-0001-48,ROI-INT-0001,INT-0001,48,1.602,10003,MediaPipe,COCO_17,17,0.8155,0.7196,29.06
SMP-INT-0002-48,ROI-INT-0002,INT-0002,48,1.602,10002,MediaPipe,COCO_17,17,0.5,0.5,11.6
SMP-INT-0001-49,ROI-INT-0001,INT-0001,49,1.635,10003,MediaPipe,COCO_17,17,0.8277,0.7303,27.37
SMP-INT-0002-49,ROI-INT-0002,INT-0002,49,1.635,10002,MediaPipe,COCO_17,17,0.5,0.5,11.14
SMP-INT-0001-50,ROI-INT-0001,INT-0001,50,1.668,10003,MediaPipe,COCO_17,17,0.78,0.7341,26.96
SMP-INT-0002-50,ROI-INT-0002,INT-0002,50,1.668,10002,MediaPipe,COCO_17,17,0.5,0.5,11.4
SMP-INT-0001-51,ROI-INT-0001,INT-0001,51,1.702,10003,MediaPipe,COCO_17,17,0.7983,0.7513,27.21
SMP-INT-0002-51,ROI-INT-0002,INT-0002,51,1.702,10002,MediaPipe,COCO_17,17,0.5,0.5,11.35
SMP-INT-0001-52,ROI-INT-0001,INT-0001,52,1.735,10003,MediaPipe,COCO_17,17,0.7894,0.6965,27.46
SMP-INT-0002-52,ROI-INT-0002,INT-0002,52,1.735,10002,MediaPipe,COCO_17,17,0.5,0.5,11.83
SMP-INT-0001-53,ROI-INT-0001,INT-0001,53,1.768,10003,MediaPipe,COCO_17,17,0.9286,0.9286,26.68
SMP-INT-0002-53,ROI-INT-0002,INT-0002,53,1.768,10002,MediaPipe,COCO_17,17,0.5,0.5,11.81
SMP-INT-0001-54,ROI-INT-0001,INT-0001,54,1.802,10003,MediaPipe,COCO_17,17,0.962,0.962,26.65
SMP-INT-0002-54,ROI-INT-0002,INT-0002,54,1.802,10002,MediaPipe,COCO_17,17,0.5,0.5,12.91
SMP-INT-0001-55,ROI-INT-0001,INT-0001,55,1.835,10003,MediaPipe,COCO_17,17,0.911,0.911,36.29
SMP-INT-0002-55,ROI-INT-0002,INT-0002,55,1.835,10002,MediaPipe,COCO_17,17,0.5,0.5,13.37
SMP-INT-0001-65,ROI-INT-0001,INT-0001,65,2.169,10003,MediaPipe,COCO_17,17,0.5,0.5,11.68
SMP-INT-0002-65,ROI-INT-0002,INT-0002,65,2.169,10002,MediaPipe,COCO_17,17,0.5,0.5,11.2
SMP-INT-0001-81,ROI-INT-0001,INT-0001,81,2.703,10003,MediaPipe,COCO_17,17,0.5,0.5,34.9
SMP-INT-0002-81,ROI-INT-0002,INT-0002,81,2.703,10002,MediaPipe,COCO_17,17,0.5,0.5,16.32
SMP-INT-0001-82,ROI-INT-0001,INT-0001,82,2.736,10003,MediaPipe,COCO_17,17,0.799,0.752,30.41
SMP-INT-0002-82,ROI-INT-0002,INT-0002,82,2.736,10002,MediaPipe,COCO_17,17,0.5,0.5,12.8
SMP-INT-0001-92,ROI-INT-0001,INT-0001,92,3.07,10003,MediaPipe,COCO_17,17,0.9194,0.9194,26.96
