experiment_id,stage,method,dataset,split,precision,recall,f1,accuracy,mAP50,mAP50_95,MOTA,IDF1,latency_ms,fps,cpu_percent,ram_mb,gpu_percent,gpu_memory_mb,frame_reduction_percent,evidence_recall,false_positive_rate,false_negative_rate,status,reason,timestamp
Detection_YOLOv8,Detection,YOLOv8,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.568633
Detection_YOLO11,Detection,YOLO11,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.569486
Tracking_ByteTrack,Tracking,ByteTrack,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.570358
Tracking_BoT-SORT,Tracking,BoT-SORT,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.571179
Tracking_OC-SORT,Tracking,OC-SORT,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Not implemented/executable,2026-08-11T08:10:00.572239
Relationship_Centroid_Euclidean_distance,Relationship,Centroid Euclidean distance,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.573177
Relationship_Bounding-box_edge_distance,Relationship,Bounding-box edge distance,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.575066
Relationship_Normalized_distance,Relationship,Normalized distance,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.576178
Relationship_IoU_interaction,Relationship,IoU interaction,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.577181
Relationship_Distance_+_relative_velocity,Relationship,Distance + relative velocity,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.578115
Behaviour_Primitive_rule_reasoning,Behaviour,Primitive rule reasoning,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.579033
Behaviour_Behaviour_timeline,Behaviour,Behaviour timeline,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.580056
Behaviour_Behaviour_graph,Behaviour,Behaviour graph,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.580882
ROI_Selection_Full-frame,ROI Selection,Full-frame,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.581707
ROI_Selection_Person_bounding-box,ROI Selection,Person bounding-box,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.582561
ROI_Selection_Interaction_ROI,ROI Selection,Interaction ROI,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.583456
ROI_Selection_Expanded_interaction_ROI,ROI Selection,Expanded interaction ROI,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.584393
ROI_Selection_Behaviour-informed_ROI,ROI Selection,Behaviour-informed ROI,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.585258
Pose_Estimation_MediaPipe,Pose Estimation,MediaPipe,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.586111
Pose_Estimation_RTMPose,Pose Estimation,RTMPose,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Scaffold adapter (No actual inference),2026-08-11T08:10:00.587190
Pose_Estimation_ViTPose,Pose Estimation,ViTPose,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Scaffold adapter (No actual inference),2026-08-11T08:10:00.588916
Pose_Estimation_MMPose,Pose Estimation,MMPose,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Scaffold adapter (No actual inference),2026-08-11T08:10:00.590362
Pose_Estimation_OpenPose,Pose Estimation,OpenPose,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Scaffold adapter (No actual inference),2026-08-11T08:10:00.592001
Skeleton_Normalization_hip_centered,Skeleton Normalization,hip_centered,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.594221
Skeleton_Normalization_bbox,Skeleton Normalization,bbox,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.595745
Skeleton_Normalization_root_joint,Skeleton Normalization,root_joint,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.596890
Skeleton_Normalization_image,Skeleton Normalization,image,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.597852
Skeleton_Normalization_rotation_aligned,Skeleton Normalization,rotation_aligned,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.598843
Action_Recognition_ST-GCN,Action Recognition,ST-GCN,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Missing actual dataset (Fabrication strictly prohibited),2026-08-11T08:10:00.599913
Action_Recognition_CTR-GCN,Action Recognition,CTR-GCN,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Scaffold adapter (No actual inference),2026-08-11T08:10:00.600969
Action_Recognition_MSG3D,Action Recognition,MSG3D,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Scaffold adapter (No actual inference),2026-08-11T08:10:00.602012
Action_Recognition_PoseC3D,Action Recognition,PoseC3D,Snatch 1.0,Video-Level (70/15/15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_EVALUATED,Scaffold adapter (No actual inference),2026-08-11T08:10:00.603092
