ablation_name,video_name,precision,recall,f1_score,roc_auc,latency_ms,fps,frame_reduction_pct,ram_mb,signature_score
Ablation: Motion Triage Removed,1.mp4,1.0,1.0,1.0,1.0,125.05,8.0,19.9,527.1,0.8
Ablation: Motion Triage Removed,10.mp4,1.0,1.0,1.0,1.0,124.54,8.0,31.1,557.8,0.75
Ablation: Motion Triage Removed,30_0.mp4,1.0,1.0,1.0,1.0,76.01,13.2,0.0,535.6,0.8954
Ablation: Motion Triage Removed,6.mp4,1.0,1.0,1.0,1.0,351.03,2.9,12.5,461.0,0.8
Ablation: Motion Triage Removed,s_15.avi,1.0,1.0,1.0,1.0,347.38,2.9,0.3,493.3,0.65
Ablation: Motion Triage Removed,s_20.avi,1.0,1.0,1.0,1.0,160.74,6.2,0.3,485.0,0.2
Ablation: Motion Triage Removed,s_23.avi,1.0,1.0,1.0,1.0,301.66,3.3,0.3,609.2,0.4
Ablation: Motion Triage Removed,s_24.avi,1.0,1.0,1.0,1.0,203.12,4.9,0.3,608.1,0.4
Ablation: Semantic Filtering Removed,1.mp4,1.0,1.0,1.0,1.0,162.88,6.1,0.3,462.9,0.8
Ablation: Semantic Filtering Removed,10.mp4,1.0,1.0,1.0,1.0,183.92,5.4,31.1,623.4,0.75
Ablation: Semantic Filtering Removed,30_0.mp4,1.0,1.0,1.0,1.0,94.53,10.6,0.0,589.9,0.8954
Ablation: Semantic Filtering Removed,6.mp4,1.0,1.0,1.0,1.0,384.26,2.6,6.2,479.4,0.8
Ablation: Semantic Filtering Removed,s_15.avi,1.0,1.0,1.0,1.0,1063.29,0.9,0.3,581.3,0.65
Ablation: Semantic Filtering Removed,s_20.avi,1.0,1.0,1.0,1.0,804.93,1.2,0.3,554.9,0.2
Ablation: Semantic Filtering Removed,s_23.avi,1.0,1.0,1.0,1.0,775.39,1.3,0.3,802.8,0.4
Ablation: Semantic Filtering Removed,s_24.avi,1.0,1.0,1.0,1.0,310.66,3.2,0.3,696.4,0.4
Ablation: Behaviour Graph Removed,1.mp4,0.0,0.0,0.0,0.125,76.38,13.1,19.9,491.7,0.6252
Ablation: Behaviour Graph Removed,10.mp4,1.0,1.0,1.0,0.125,123.41,8.1,31.1,526.1,0.7573
Ablation: Behaviour Graph Removed,30_0.mp4,1.0,1.0,1.0,0.125,94.88,10.5,0.0,583.3,0.8954
