config_name,video_name,precision,recall,f1_score,accuracy,roc_auc,fpr,fnr,tpr,latency_ms,fps,frame_reduction_pct,ram_mb,cpu_pct,gpu_mb,signature_score,evidence_completeness,ground_truth_positive,predicted_positive,decision_score
Config A (Baseline),s_11.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,55.56,18.0,0.3,1243.5,26.3,42.1,0.9867,0.9867,0,1,0.9867
Config A (Baseline),s_12.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,50.76,19.7,0.3,1243.7,24.7,42.1,0.9953,0.9953,0,1,0.9953
Config A (Baseline),s_15.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,51.13,19.6,0.3,1242.8,23.4,42.1,0.9504,0.9504,0,1,0.9504
Config A (Baseline),s_18.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,42.04,23.8,0.3,1223.2,17.2,42.1,1.0,1.0,0,1,1.0
Config A (Baseline),s_20.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,44.68,22.4,0.3,1244.8,29.0,42.1,0.9066,0.9066,0,1,0.9066
Config A (Baseline),s_23.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,56.71,17.6,0.3,1260.3,28.5,42.1,0.9733,0.9733,0,1,0.9733
Config A (Baseline),s_24.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,54.95,18.2,0.3,1264.1,24.8,42.1,0.99,0.99,0,1,0.99
Config A (Baseline),1.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,39.29,25.4,19.9,1216.4,25.9,42.1,0.6252,0.6252,1,0,0.6252
Config A (Baseline),10.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,49.72,20.1,31.1,1219.5,32.0,42.1,0.7573,0.7573,1,1,0.7573
Config A (Baseline),10_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,49.95,20.0,1.1,1226.8,36.9,42.1,0.962,0.962,1,1,0.962
Config A (Baseline),11.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,55.82,17.9,33.2,1148.5,44.4,42.1,0.9033,0.9033,1,1,0.9033
Config A (Baseline),11_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,50.66,19.7,2.8,1148.1,37.7,42.1,0.5975,0.5975,1,0,0.5975
Config A (Baseline),12.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,61.59,16.2,14.3,1153.4,45.6,42.1,0.7085,0.7085,1,0,0.7085
