config_name,video_name,precision,recall,f1_score,accuracy,roc_auc,fpr,fnr,tpr,latency_ms,fps,frame_reduction_pct,ram_mb,cpu_pct,gpu_mb,signature_score,evidence_completeness,ground_truth_positive,predicted_positive,decision_score
Config A (Baseline),1.mp4,1.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,48.52,20.6,24.7,1228.3,20.9,42.1,0.6341,0.6341,1,1,0.6341
Config A (Baseline),10.mp4,1.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,44.95,22.2,36.2,1243.9,18.6,42.1,0.7573,0.7573,1,1,0.7573
Config A (Baseline),10_0.mp4,1.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,36.17,27.6,0.5,1230.6,18.0,42.1,0.9967,0.9967,1,1,0.9967
Config A (Baseline),11.mp4,1.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,44.05,22.7,33.2,1249.6,20.7,42.1,0.9033,0.9033,1,1,0.9033
Config A (Baseline),s_11.avi,0.0,0.0,0.0,0.0,0.25,1.0,0.0,1.0,44.28,22.6,0.1,1254.2,17.9,42.1,0.9967,0.9967,0,1,0.9967
Config A (Baseline),s_12.avi,0.0,0.0,0.0,0.0,0.25,1.0,0.0,1.0,48.74,20.5,0.1,1253.9,17.7,42.1,0.9953,0.9953,0,1,0.9953
Config B (+ Motion Triage),1.mp4,1.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,50.74,19.7,24.7,1254.1,16.9,42.1,0.6341,0.6341,1,1,0.6341
Config B (+ Motion Triage),10.mp4,1.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,92.52,10.8,36.2,1338.7,16.6,42.1,0.7573,0.7573,1,1,0.7573
Config B (+ Motion Triage),10_0.mp4,1.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,40.63,24.6,6.2,1238.2,17.5,42.1,0.9967,0.9967,1,1,0.9967
Config B (+ Motion Triage),11.mp4,1.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,82.54,12.1,33.2,1340.8,18.5,42.1,0.9033,0.9033,1,1,0.9033
Config B (+ Motion Triage),s_11.avi,0.0,0.0,0.0,0.0,0.25,1.0,0.0,1.0,75.98,13.2,0.1,1252.7,16.2,42.1,0.9967,0.9967,0,1,0.9967
Config B (+ Motion Triage),s_12.avi,0.0,0.0,0.0,0.0,0.25,1.0,0.0,1.0,79.16,12.6,0.1,1259.3,15.8,42.1,0.9953,0.9953,0,1,0.9953
Config C (+ Behaviour Graph),1.mp4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,51.15,19.6,24.7,1171.1,18.1,42.1,0.6341,0.6341,1,1,0.6341
Config C (+ Behaviour Graph),10.mp4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,91.72,10.9,36.2,1260.9,16.4,42.1,0.47,0.1667,1,0,0.47
Config C (+ Behaviour Graph),10_0.mp4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,38.26,26.1,6.2,1154.3,17.5,42.1,0.59,0.3333,1,1,0.59
Config C (+ Behaviour Graph),11.mp4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,84.52,11.8,33.2,1257.0,16.6,42.1,0.71,0.5,1,1,0.71
Config C (+ Behaviour Graph),s_11.avi,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,77.42,12.9,0.1,1268.1,15.6,42.1,1.0,1.0,0,1,1.0
Config C (+ Behaviour Graph),s_12.avi,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,80.26,12.5,0.1,1267.9,16.6,42.1,0.95,0.8333,0,1,0.95
Config D (Proposed Framework),1.mp4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,55.16,18.1,24.7,1180.4,17.2,42.3,0.1,0.1667,1,0,0.1
Config D (Proposed Framework),10.mp4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.47,9.9,36.2,1292.1,15.8,42.3,0.4,0.5,1,0,0.4
Config D (Proposed Framework),10_0.mp4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,109.78,9.1,6.2,1297.7,36.8,42.3,0.45,0.5,1,0,0.45
Config D (Proposed Framework),11.mp4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,105.03,9.5,33.2,1416.0,15.6,42.3,0.55,0.6667,1,1,0.55
Config D (Proposed Framework),s_11.avi,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,181.1,5.5,0.1,1468.8,14.3,42.3,0.75,0.8333,0,1,0.75
Config D (Proposed Framework),s_12.avi,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,121.03,8.3,0.1,1433.5,14.6,42.3,0.6,0.6667,0,1,0.6
