roi_id,interaction_id,start_frame,end_frame,frame_count,duration_seconds,person_track_id,vehicle_track_id,interaction_confidence,is_accepted,rejection_reason,completeness,missing_pct,bounding_box_stability,track_continuity,frame_coverage,pattern_sequence
ROI-INT-0001,INT-0001,44,542,422,14.081,10003,10000,0.9,False,Completeness 0.01 < threshold 0.60; Missing pct 98.6% > threshold 40.0%,0.0142,98.58,0.9765,0.4526,0.8457,STOP_PATTERN -> CO_TRAVEL_PATTERN -> STOP_PATTERN -> CO_TRAVEL_PATTERN -> STOP_PATTERN
ROI-INT-0002,INT-0002,44,542,422,14.081,10002,10003,0.9,False,Completeness 0.02 < threshold 0.60; Missing pct 97.9% > threshold 40.0%,0.0213,97.87,0.8521,0.4834,0.8457,STOP_PATTERN -> CO_TRAVEL_PATTERN -> STOP_PATTERN -> CO_TRAVEL_PATTERN -> STOP_PATTERN
ROI-INT-0003,INT-0003,119,542,390,13.013,1,3,0.95,False,Completeness 0.16 < threshold 0.60; Missing pct 84.1% > threshold 40.0%,0.159,84.1,0.9768,0.1667,0.9198,STOP_PATTERN -> DIVERGENCE_PATTERN -> ESCAPE_PATTERN -> DIVERGENCE_PATTERN -> FOLLOW_PATTERN -> DIVERGENCE_PATTERN -> ESCAPE_PATTERN -> DIVERGENCE_PATTERN -> ESCAPE_PATTERN -> DIVERGENCE_PATTERN -> CO_TRAVEL_PATTERN -> DIVERGENCE_PATTERN -> ESCAPE_PATTERN -> DIVERGENCE_PATTERN -> CO_TRAVEL_PATTERN -> FOLLOW_PATTERN -> ESCAPE_PATTERN -> DIVERGENCE_PATTERN -> CO_TRAVEL_PATTERN -> DIVERGENCE_PATTERN -> CO_TRAVEL_PATTERN -> ESCAPE_PATTERN -> APPROACH_PATTERN -> DIVERGENCE_PATTERN -> FOLLOW_PATTERN -> DIVERGENCE_PATTERN -> ESCAPE_PATTERN -> DIVERGENCE_PATTERN -> FOLLOW_PATTERN -> DIVERGENCE_PATTERN -> CO_TRAVEL_PATTERN -> SEPARATION_PATTERN -> ESCAPE_PATTERN -> DIVERGENCE_PATTERN -> SEPARATION_PATTERN -> DIVERGENCE_PATTERN -> ESCAPE_PATTERN -> CO_TRAVEL_PATTERN -> SEPARATION_PATTERN -> DIVERGENCE_PATTERN -> ESCAPE_PATTERN -> DIVERGENCE_PATTERN
ROI-INT-0004,INT-0004,176,542,333,11.111,3,1,0.95,True,Accepted,0.7087,29.13,0.7799,0.7327,0.9074,PROXIMITY_PATTERN -> DIVERGENCE_PATTERN -> ESCAPE_PATTERN
ROI-INT-0005,INT-0005,311,542,218,7.274,10000,10001,0.95,False,Completeness 0.04 < threshold 0.60; Missing pct 96.3% > threshold 40.0%,0.0367,96.33,0.8107,0.1835,0.9397,PROXIMITY_PATTERN -> ESCAPE_PATTERN -> FOLLOW_PATTERN
ROI-INT-0006,INT-0006,340,542,190,6.34,10000,10002,0.95,False,Completeness 0.04 < threshold 0.60; Missing pct 96.3% > threshold 40.0%,0.0368,96.32,0.829,0.0632,0.936,PROXIMITY_PATTERN -> ESCAPE_PATTERN
ROI-INT-0007,INT-0007,340,542,190,6.34,10000,10003,0.954,False,Completeness 0.04 < threshold 0.60; Missing pct 96.3% > threshold 40.0%,0.0368,96.32,0.829,0.0632,0.936,PROXIMITY_PATTERN -> ESCAPE_PATTERN
ROI-INT-0008,INT-0008,340,542,190,6.34,10001,10002,0.972,False,Completeness 0.04 < threshold 0.60; Missing pct 96.3% > threshold 40.0%,0.0368,96.32,0.8817,0.0632,0.936,PROXIMITY_PATTERN -> ESCAPE_PATTERN
ROI-INT-0009,INT-0009,340,542,190,6.34,10001,10003,0.95,False,Completeness 0.04 < threshold 0.60; Missing pct 96.3% > threshold 40.0%,0.0368,96.32,0.8817,0.0632,0.936,PROXIMITY_PATTERN -> ESCAPE_PATTERN -> DIVERGENCE_PATTERN
ROI-INT-0010,INT-0010,340,542,190,6.34,10002,10003,0.95,False,Completeness 0.03 < threshold 0.60; Missing pct 96.8% > threshold 40.0%,0.0316,96.84,0.9521,0.0632,0.936,PROXIMITY_PATTERN -> ESCAPE_PATTERN
