signature_id,interaction_id,fusion_id,matched_signature_name,signature_score,decision,confidence,matched_components_count,missing_components_count,recommendation
SIG-31858143,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-70E62CBC,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.144,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-FD745C4B,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-FD7E7968,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.172,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-5DEAFBBA,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-1356BFB0,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.172,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-6893019B,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-C86031CB,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.172,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-8B9C8B4A,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-DF7FB3E4,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.172,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-78AD02F0,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-C7F7141E,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.172,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-2EBFCBC3,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-BBB19E78,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.172,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-0131DDA1,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-BD2580E4,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.172,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
